institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank
IR-E-C-1331,M. S. Ramaiah Institute of Technology,65.53,13.98,62.74,55.31,18.15,Bengaluru,Karnataka,43.74,59,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1331.pdf
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,68.66,18.42,54.26,62.06,5.21,Srivilliputtur,Tamil Nadu,43.71,60,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0458.pdf
IR-E-U-0619,National Institute of Technology Meghalaya,66.27,20.64,54.64,59.35,7.59,Shillong,Meghalaya,43.69,61,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0619.pdf
IR-E-U-0221,International Institute of Information Technology Bangalore,59.63,17.63,63.93,57.99,17.79,Bengaluru,Karnataka,43.55,62,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0221.pdf
IR-E-U-0297,Defence Institute of Advanced Technology,64.43,32.96,44.38,47.56,2.69,Pune,Maharashtra,43.13,63,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0297.pdf
IR-E-C-26794,Thiagarajar College of Engineering,59.67,18.32,59.11,51.54,27.44,Madurai,Tamil Nadu,43.11,64,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-26794.pdf
IR-E-U-0284,Maulana Azad National Institute of Technology,52.55,28.36,64.27,47.33,3.20,Bhopal,Madhya Pradesh,42.17,65,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0284.pdf
IR-E-U-0795,Indian Institute of Information Technology Guwahati,64.22,6.80,58.52,52.43,36.68,Guwahati,Assam,41.92,66,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0795.pdf
IR-E-U-0092,National Institute of Technology Raipur,58.88,24.26,56.99,50.70,1.63,Raipur,Chhattisgarh,41.58,67,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0092.pdf
IR-E-U-0080,Punjab Engineering College (Deemed To Be University),55.66,14.20,64.10,56.64,19.90,Chandigarh,Chandigarh,41.43,68,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0080.pdf
IR-E-C-24004,College of Engineering(A),65.32,10.04,63.72,54.35,5.69,Visakhapatnam,Andhra Pradesh,41.36,69,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-24004.pdf
IR-E-C-1269,R. V. College of Engineering,63.06,13.29,59.79,48.30,13.20,Bengaluru,Karnataka,41.02,70,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1269.pdf
IR-E-C-33641,Veermata Jijabai Technological Institute,57.29,11.04,68.16,52.93,11.55,Mumbai,Maharashtra,40.58,71,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-33641.pdf
IR-E-U-0078,Panjab University,40.82,43.55,51.63,40.27,7.59,Chandigarh,Chandigarh,40.44,72,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0078.pdf
IR-E-C-1262,B.M.S. College of Engineering,62.07,11.92,55.53,52.58,17.79,Bengaluru,Karnataka,40.35,73,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1262.pdf
IR-E-C-45375,Indian Institute of Food Processing Technology (IIFPT),70.18,5.41,53.50,58.94,9.84,Thanjavur,Tamil Nadu,40.24,74,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-45375.pdf
IR-E-U-0493,National Institute of Technology Agartala,57.69,21.55,48.22,55.37,10.27,Agratala,Tripura,39.98,75,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0493.pdf
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),49.60,22.68,62.41,44.55,13.60,South West,Delhi,39.97,76,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6379.pdf
IR-E-U-0620,National Institute of Technology Goa,57.39,18.33,52.11,56.77,11.13,Ponda,Goa,39.93,77,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0620.pdf
IR-E-U-0201,Shri Mata Vaishno Devi University,69.41,18.63,41.79,48.00,1.10,Katra,Jammu and Kashmir,39.68,78,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0201.pdf
IR-E-U-0207,National Institute of Technology Jamshedpur,56.64,12.85,64.87,45.15,11.13,Jamshedpur,Jharkhand,39.44,79,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0207.pdf
IR-E-U-0460,Karunya Institute of Technology and Sciences,56.50,20.50,50.75,54.83,6.65,Coimbatore,Tamil Nadu,39.40,80,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0460.pdf
IR-E-U-0286,Indian Institute of Information Technology Design & Manufacturing Jabalpur,45.42,30.89,59.40,43.47,1.63,Jabalpur,Madhya Pradesh,39.29,81,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0286.pdf
IR-E-C-36926,Kumaraguru College of Technology,63.11,11.35,54.41,45.37,14.79,Coimbatore,Tamil Nadu,39.24,82,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36926.pdf
IR-E-C-36995,Sri Krishna College of Engineering and Technology,62.69,4.26,63.05,48.54,12.79,Coimbatore,Tamil Nadu,38.83,83,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36995.pdf
IR-E-U-0747,Chandigarh University,64.38,4.74,51.98,74.73,2.16,Mohali,Punjab,38.82,84,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0747.pdf
